Hole number,FDUP,ORG,TiO2 dup,TiO2 org,P dup,P org,V dup,V org
NM20045,C175385,C175384,4.29,4.25,1.575,1.55,0.042,0.043
NM20045,C175403,C175402,4.19,4.12,1.55,1.51,0.042,0.042
NM20045,C175426,C175425,4.1,4.14,1.485,1.5,0.043,0.043
NM20045,C175444,C175443,4.43,4.4,1.585,1.58,0.044,0.044
NM20045,C175464,C175463,4.16,4.16,1.545,1.55,0.043,0.043
NM20045,C175486,C175485,4.29,4.39,1.555,1.56,0.041,0.041
NM20045,C175508,C175507,4.27,4.34,1.44,1.46,0.041,0.041
NM20045,C175524,C175523,4.62,4.54,1.455,1.435,0.045,0.044
NM20045,C175543,C175542,7.26,7.31,2.23,2.21,0.065,0.065
NM20045,C175564,C175563,6.72,6.75,2.16,2.16,0.061,0.061
NM20045,C175587,C175586,4.11,4.19,1.475,1.49,0.04,0.04
NM20045,C175605,C175604,4.34,4.24,1.355,1.35,0.042,0.041
NM20045,C175623,C175622,2.34,2.35,0.298,0.305,0.013,0.013
NM20045,C175643,C175642,4.47,4.4,1.26,1.285,0.036,0.036
NM20045,C175666,C175665,4.66,4.7,1.45,1.455,0.044,0.045
NM20045,C175685,C175684,4.63,4.58,1.45,1.45,0.046,0.044
NM20045,C175704,C175703,4.68,4.63,1.53,1.545,0.045,0.044
NM20044,C177167,C177166,4.58,4.85,0.023,0.021,0.019,0.02
NM20044,C177185,C177184,2.8,2.96,0.046,0.046,0.01,0.011
NM20044,C177205,C177204,3.25,3.2,0.033,0.034,0.012,0.012
NM20044,C177225,C177224,3.49,3.64,0.028,0.027,0.012,0.014
NM20044,C177245,C177244,1.86,1.7,0.014,0.014,0.029,0.03
NM20044,C177265,C177264,4.45,4.46,1.365,1.41,0.047,0.046
NM20044,C177285,C177284,4.64,4.6,1.48,1.48,0.05,0.049
NM20044,C177305,C177304,4.19,4.21,1.52,1.525,0.043,0.043
NM20044,C177325,C177324,4.27,4.23,1.55,1.56,0.046,0.045
NM20044,C177345,C177344,4.5,4.5,1.62,1.615,0.047,0.047
NM20044,C177365,C177364,4.52,4.56,1.63,1.65,0.047,0.048
NM20044,C177383,C177382,4.23,4.25,1.495,1.51,0.04,0.04
NM20044,C177405,C177404,4.9,4.81,0.015,0.016,0.031,0.03
NM20044,C177425,C177424,3.43,3.44,0.015,0.014,0.027,0.026
NM20044,C177447,C177446,4.78,4.78,0.029,0.028,0.031,0.031
NM20044,C177465,C177464,5.89,5.85,0.014,0.015,0.049,0.049
NM20044,C177485,C177484,4.99,4.98,0.019,0.019,0.041,0.041
NM20043,C176114,C176113,3.55,3.33,0.016,0.015,0.026,0.024
NM20043,C176130,C176129,7.1,6.89,0.491,0.494,0.038,0.038
NM20043,C176150,C176149,4.17,4.31,0.829,0.851,0.038,0.039
NM20043,C176170,C176169,4.19,4.27,1.325,1.33,0.043,0.042
NM20043,C176190,C176189,4.56,4.59,1.67,1.7,0.046,0.045
NM20043,C176210,C176209,4.36,4.43,1.61,1.66,0.043,0.044
NM20043,C176230,C176229,4.1,4.08,1.48,1.46,0.04,0.04
NM20043,C176250,C176249,5.07,4.93,2.05,2,0.048,0.048
NM20043,C176272,C176271,3.99,4.02,0.017,0.016,0.029,0.03
NM20043,C176290,C176289,4.69,4.71,0.012,0.013,0.033,0.035
NM20042,B452345,B452344,4.77,4.76,0.802,0.755,0.035,0.035
NM20042,B452365,B452364,4.05,4.04,1.375,1.365,0.038,0.038
NM20042,B452384,B452383,2.95,2.98,0.034,0.031,0.015,0.015
NM20042,B452404,B452403,4.07,4.03,0.04,0.042,0.025,0.024
NM20042,B452425,B452424,5.81,5.82,0.027,0.028,0.054,0.054
NM20042,B452445,B452444,5.02,4.87,0.058,0.064,0.021,0.021
NM20042,B452464,B452463,4.78,4.68,0.047,0.045,0.021,0.02
NM20042,B452485,B452484,3,2.93,0.085,0.065,0.011,0.012
NM20042,C177005,C177004,3.35,3.43,0.059,0.058,0.013,0.014
NM20042,C177025,C177024,6.39,6.48,1.67,1.69,0.066,0.067
NM20042,C177044,C177043,6.37,6.43,1.86,1.855,0.068,0.069
NM20042,C177065,C177064,4.73,4.72,1.64,1.635,0.047,0.048
NM20042,C177085,C177084,3.93,3.97,1.405,1.4,0.039,0.039
NM20042,C177105,C177104,5.56,5.25,1.66,1.6,0.058,0.055
NM20042,C177125,C177124,5.22,5.3,0.057,0.053,0.035,0.039
NM20042,C177145,C177144,4.97,4.92,0.05,0.052,0.038,0.039
NM20041,B450965,B450964,4.4,4.38,1.265,1.26,0.038,0.038
NM20041,B450985,B450984,4.27,4.21,1.17,1.165,0.038,0.036
NM20041,C175004,C175003,4.46,4.59,1.34,1.36,0.036,0.038
NM20041,C175025,C175024,3.94,3.93,0.995,0.993,0.028,0.029
NM20041,C175045,C175044,3.65,3.58,0.963,0.925,0.032,0.031
NM20041,C175065,C175064,4.32,4.37,1.12,1.14,0.036,0.037
NM20041,C175085,C175084,4.39,4.29,1.1,1.08,0.038,0.038
NM20041,C175105,C175104,3.75,3.65,1.02,0.998,0.034,0.034
NM20041,C175125,C175124,3.85,3.81,0.967,0.959,0.034,0.034
NM20041,C175145,C175144,4.24,4.31,1.11,1.13,0.038,0.037
NM20041,C175165,C175164,3.02,2.94,0.757,0.754,0.024,0.022
NM20041,C175185,C175184,2.45,2.47,0.637,0.636,0.022,0.021
NM20041,C175206,C175205,3.84,3.79,0.957,0.945,0.032,0.032
NM20041,C175225,C175224,3.73,3.77,0.998,1.025,0.032,0.032
NM20041,C175248,C175247,4.18,4.09,1.09,1.015,0.037,0.037
NM20041,C175264,C175263,4.13,4.15,1.225,1.215,0.038,0.038
NM20041,C175284,C175283,4.01,4.03,1.12,1.125,0.035,0.036
NM20041,C175305,C175304,4.33,4.26,1.185,1.205,0.038,0.038
NM20040,B451852,B451851,3.03,2.95,0.028,0.026,0.01,0.01
NM20040,B451870,B451869,3.29,3.34,0.018,0.018,0.012,0.012
NM20040,B451890,B451889,1.64,1.76,0.016,0.016,0.007,0.007
NM20040,D024608,D024607,2.31,2.06,0.014,0.014,0.016,0.015
NM20040,B451910,B451909,5.01,4.96,1.475,1.49,0.05,0.05
NM20040,B451930,B451929,4.83,4.7,1.46,1.435,0.048,0.047
NM20040,B451950,B451949,3.39,3.56,0.925,0.898,0.026,0.028
NM20040,B451970,B451969,4.55,4.41,1.7,1.68,0.045,0.044
NM20040,B451991,B451990,4.64,4.65,1.805,1.795,0.045,0.046
NM20040,C176010,C176009,3.85,3.98,0.015,0.015,0.022,0.022
NM20040,C176030,C176029,4.06,4.02,0.016,0.016,0.031,0.03
NM20040,C176050,C176049,4.91,4.97,0.014,0.014,0.035,0.036
NM20040,C176070,C176069,6.05,6,0.013,0.012,0.035,0.037
NM20040,C176090,C176089,3.05,3.18,0.022,0.02,0.024,0.02
NM20039,B450785,B450784,5.05,5.07,1.625,1.625,0.021,0.02
NM20039,B450805,B450804,5.13,5.12,1.565,1.57,0.024,0.024
NM20039,B450825,B450824,5.84,5.8,1.75,1.73,0.028,0.027
NM20039,B450846,B450845,4.75,4.67,1.595,1.585,0.022,0.02
NM20039,B450865,B450864,6.55,6.74,1.76,1.77,0.032,0.032
NM20039,B450885,B450884,5.69,5.67,1.51,1.515,0.031,0.031
NM20039,B450905,B450904,3.97,4.06,1.01,1.07,0.027,0.027
NM20039,B450925,B450924,1.68,1.4,0.235,0.242,0.01,0.008
NM20039,B450945,B450944,4.93,4.89,1.575,1.545,0.029,0.029
NM20038,B451630,B451629,0.65,0.67,0.014,0.015,0.008,0.008
NM20038,B451650,B451649,4.53,4.47,0.018,0.019,0.018,0.017
NM20038,B451671,B451670,4.54,4.61,0.025,0.025,0.017,0.017
NM20038,B451690,B451689,3.26,3.34,0.029,0.029,0.012,0.012
NM20038,B451710,B451709,3.19,3.17,0.022,0.022,0.011,0.011
NM20038,B451730,B451729,1.72,1.6,0.053,0.056,0.01,0.009
NM20038,B451750,B451749,4.15,4.26,1.27,1.3,0.038,0.041
NM20038,B451770,B451769,4.41,4.33,1.4,1.405,0.044,0.042
NM20038,B451790,B451789,4.43,4.46,1.635,1.645,0.045,0.043
NM20038,B451809,B451808,3.93,3.83,1.47,1.455,0.039,0.04
NM20038,B451830,B451829,3.98,3.9,1.445,1.435,0.042,0.041
NM20038,C178261,B451849,4.42,4.39,0.015,0.016,0.026,0.025
NM20038,D024590,D024589,4.79,4.86,0.014,0.015,0.041,0.043
NM20037,B451510,B451509,4.81,4.94,1.445,1.515,0.039,0.041
NM20037,B451530,B451529,4.5,4.54,1.48,1.515,0.047,0.046
NM20037,B451551,B451550,3.78,3.8,0.905,0.895,0.027,0.027
NM20037,B451570,B451569,4.46,4.45,1.28,1.275,0.037,0.037
NM20037,B451591,B451590,6.19,6.2,0.012,0.012,0.034,0.033
NM20037,B451610,B451609,0.99,1.38,0.014,0.014,0.01,0.013
NM20036,B450445,B450444,5.28,5.26,1.525,1.535,0.026,0.025
NM20036,B450465,B450464,5.06,5.08,1.52,1.53,0.021,0.021
NM20036,B450485,B450484,4.28,4.25,1.21,1.18,0.022,0.022
NM20036,B450505,B450504,6.28,6.34,1.88,1.88,0.031,0.03
NM20036,B450525,B450524,4.81,4.66,1.635,1.58,0.021,0.022
NM20036,B450545,B450544,4.3,4.47,1.305,1.37,0.02,0.021
NM20036,B450565,B450564,4.41,4.46,1.43,1.435,0.027,0.028
NM20036,B450585,B450584,6.66,6.68,1.84,1.84,0.035,0.036
NM20036,B450605,B450604,6.34,6.36,1.615,1.645,0.035,0.034
NM20036,B450625,B450624,7.42,7.38,1.775,1.775,0.041,0.041
NM20036,B450645,B450644,0.71,1.42,0.676,0.821,0.005,0.009
NM20036,B450665,B450664,7.51,7.5,1.935,1.995,0.045,0.043
NM20036,B450685,B450684,6.16,6.17,1.735,1.745,0.039,0.038
NM20036,B450705,B450704,6.46,6.52,1.9,1.92,0.043,0.044
NM20036,B450726,B450725,6.05,6.17,1.79,1.815,0.041,0.042
NM20036,B450745,B450744,2.43,2.32,0.145,0.139,0.043,0.041
NM20036,B450765,B450764,4.52,4.44,1.345,1.31,0.035,0.034
NM20035,B450385,B450384,8.35,8.09,0.054,0.056,0.044,0.042
NM20035,B450405,B450404,7.29,7.24,0.048,0.047,0.033,0.032
NM20035,B450425,B450424,5.17,5.06,0.056,0.058,0.022,0.022
NM20034,B449985,B449984,3.7,3.79,1.05,1.07,0.034,0.036
NM20034,B452005,B452004,4.14,3.6,1.12,1.015,0.037,0.029
NM20034,B452024,B452023,4.11,4.24,1.205,1.235,0.036,0.037
NM20034,B452046,B452045,3.72,3.84,1.075,1.08,0.032,0.034
NM20034,B452065,B452064,3.39,3.33,0.931,0.898,0.032,0.034
NM20034,B452085,B452084,3.58,3.66,1.05,1.05,0.03,0.03
NM20034,B452105,B452104,3.65,3.69,1.03,1.06,0.032,0.032
NM20034,B452126,B452125,4.45,4.31,1.19,1.17,0.036,0.034
NM20034,B452145,B452144,4.54,4.61,1.315,1.31,0.034,0.034
NM20034,B452165,B452164,4.48,4.47,1.23,1.24,0.034,0.033
NM20034,B452185,B452184,4.74,4.75,1.32,1.3,0.034,0.033
NM20034,B452205,B452204,4.12,4,1.125,1.125,0.028,0.028
NM20034,B452225,B452224,3.63,3.91,0.955,1.04,0.024,0.026
NM20034,B452244,B452243,4.48,4.5,1.235,1.245,0.029,0.029
NM20034,B452266,B452265,4.8,4.84,1.18,1.195,0.032,0.032
NM20034,B452285,B452284,4.47,4.53,1.24,1.27,0.03,0.03
NM20034,B452305,B452304,4.4,4.42,1.26,1.285,0.029,0.03
NM20034,B452327,B452326,4.35,4.31,1.2,1.185,0.028,0.027
NM20033,B451330,B451329,4.34,4.3,1.38,1.39,0.042,0.041
NM20033,B451350,B451349,3.95,4.01,0.741,0.739,0.022,0.023
NM20033,B451370,B451369,5.23,5.31,1.93,1.955,0.052,0.052
NM20033,B451390,B451389,4.47,4.53,1.61,1.63,0.044,0.046
NM20033,B451411,B451410,3.56,3.59,0.019,0.018,0.018,0.019
NM20033,B451430,B451429,4.73,4.68,0.018,0.019,0.036,0.037
NM20033,B451451,B451450,5.12,5.09,0.014,0.014,0.04,0.04
NM20033,B451471,B451470,4.66,4.66,0.012,0.012,0.04,0.039
NM20033,B451490,B451489,5.26,5.24,0.012,0.012,0.04,0.04
NM20032,B451170,B451169,4.93,4.92,1.61,1.55,0.049,0.05
NM20032,B451190,B451189,4.77,4.65,1.47,1.41,0.047,0.046
NM20032,B451210,B451209,5.14,5.26,1.72,1.75,0.051,0.053
NM20032,B451230,B451229,6.59,6.6,2.16,2.16,0.067,0.064
NM20032,B451251,B451250,6.38,6.47,2.23,2.32,0.063,0.064
NM20032,B451270,B451269,4.28,4.28,0.018,0.019,0.025,0.025
NM20032,B451290,B451289,4.84,4.85,0.015,0.016,0.04,0.038
NM20032,B451310,B451309,5.52,5.55,0.012,0.012,0.044,0.046
NM20031,B450125,B450124,6.99,7,0.041,0.041,0.049,0.05
NM20031,B450147,B450146,4.46,4.41,0.08,0.078,0.033,0.033
NM20031,B450165,B450164,7.21,7.26,0.033,0.031,0.052,0.051
NM20031,B450184,B450183,4.47,4.47,0.052,0.051,0.034,0.034
NM20031,B450205,B450204,4.37,4.51,0.081,0.085,0.033,0.034
NM20031,B450225,B450224,5.16,5.04,0.023,0.025,0.048,0.047
NM20031,B450245,B450244,4.11,3.97,0.044,0.044,0.035,0.033
NM20031,B450265,B450264,6.54,6.51,1.955,1.945,0.065,0.064
NM20031,B450285,B450284,6.09,6.1,1.745,1.765,0.061,0.06
NM20031,B450305,B450304,6.8,6.71,2.05,2.07,0.065,0.063
NM20031,B450325,B450324,6.83,6.82,1.89,1.885,0.07,0.07
NM20031,B450345,B450344,5.58,5.47,0.019,0.025,0.058,0.058
NM20031,B450365,B450364,3.52,3.56,0.05,0.046,0.015,0.015
NM20030,B451084,B451083,5.3,5.26,0.065,0.068,0.034,0.034
NM20030,B451103,B451102,7.42,7.45,0.06,0.058,0.037,0.036
NM20030,B451124,B451123,4.83,4.81,0.068,0.079,0.021,0.021
NM20030,B451144,B451143,6.19,6.13,0.053,0.054,0.026,0.026
NM20029,B449745,B449744,4.13,4.27,0.061,0.06,0.015,0.015
NM20029,B449760,B449759,2.99,2.99,0.068,0.066,0.011,0.012
NM20029,B449785,B449784,3.42,3.41,0.046,0.049,0.013,0.013
NM20029,B449806,B449805,5.03,4.99,0.039,0.045,0.03,0.03
NM20029,B449825,B449824,3.95,3.97,1.29,1.295,0.036,0.038
NM20029,B449845,B449844,3.76,3.74,1.39,1.435,0.034,0.034
NM20029,B449865,B449864,7.48,6.72,1.46,1.435,0.085,0.077
NM20029,B449885,B449884,6.51,6.46,1.72,1.735,0.066,0.064
NM20029,B449905,B449904,6.68,6.68,2.04,2.03,0.066,0.067
NM20029,B449925,B449924,4.28,4.3,0.067,0.057,0.029,0.029
NM20029,B449945,B449944,5.65,5.61,0.042,0.041,0.046,0.045
NM20029,B449963,B449962,5.36,5.26,0.041,0.036,0.042,0.042
NM20027,B419826,B419825,6.24,6.33,0.055,0.059,0.04,0.044
NM20027,B419845,B419844,7.97,7.96,0.039,0.039,0.063,0.064
NM20027,B419865,B419864,7.5,7.5,0.044,0.046,0.061,0.059
NM20027,B419885,B419884,5.04,5.29,0.055,0.057,0.034,0.036
NM20027,B419905,B419904,4.39,4.35,0.078,0.102,0.032,0.032
NM20027,B419925,B419924,5.91,5.92,0.055,0.051,0.037,0.036
NM20027,B419945,B419944,3.75,3.74,0.045,0.047,0.028,0.029
NM20027,B419965,B419964,1.89,1.99,0.026,0.018,0.031,0.033
NM20027,B419985,B419984,3.25,3.38,1.165,1.21,0.034,0.034
NM20027,B451005,B451004,4.1,4.11,1.5,1.52,0.041,0.04
NM20027,B451026,B451025,3.4,3.38,0.061,0.061,0.012,0.012
NM20027,B451045,B451044,3.78,3.89,0.07,0.068,0.014,0.014
NM20027,B451066,B451065,5.09,5.08,0.052,0.053,0.021,0.02
NM20028,B418810,B418809,6.94,6.59,0.046,0.049,0.039,0.037
NM20028,B418830,B418829,6.12,5.97,0.058,0.058,0.041,0.041
NM20028,B418850,B418849,8.1,8.15,0.031,0.03,0.061,0.063
NM20028,B418870,B418869,5.62,5.53,0.051,0.054,0.043,0.041
NM20028,B418890,B418889,4.67,4.75,0.084,0.082,0.032,0.034
NM20028,B418910,B418909,4.12,4.16,0.078,0.087,0.031,0.031
NM20028,B418930,B418929,4.99,5.13,0.045,0.044,0.038,0.038
NM20028,B418950,B418949,5.25,5.46,1.75,1.8,0.054,0.054
NM20028,B418970,B418969,6.27,6.4,1.46,1.47,0.052,0.053
NM20028,B418990,B418989,6.23,6.31,1.89,1.87,0.061,0.062
NM20028,B450010,B450009,6.63,6.64,1.69,1.715,0.073,0.066
NM20028,B450030,B450029,6.9,6.98,1.685,1.75,0.073,0.073
NM20028,B450050,B450049,5.41,5.32,1.525,1.55,0.057,0.056
NM20028,B450070,B450069,4.38,4.35,1.41,1.435,0.043,0.043
NM20028,B450090,B450089,4.07,4.11,1.31,1.285,0.043,0.042
NM20028,B450110,B450109,2.09,2.13,0.051,0.052,0.009,0.008
NM20025,B449401,B449400,4.21,4.21,1.41,1.42,0.035,0.035
NM20025,B449420,B449419,4.89,4.8,1.56,1.57,0.039,0.039
NM20025,B449440,B449439,4.2,4.17,1.2,1.175,0.035,0.035
NM20025,B449459,B449458,4.25,4.28,1.15,1.145,0.032,0.032
NM20025,B449480,B449479,4.13,4.18,1.23,1.235,0.033,0.034
NM20025,B449502,B449501,4.07,4.16,1.035,1.05,0.034,0.034
NM20025,B449519,B449518,1.66,1.76,0.41,0.433,0.012,0.014
NM20025,B449538,B449537,4.55,4.46,1.245,1.24,0.038,0.036
NM20025,B449556,B449555,2.36,2.38,0.614,0.618,0.017,0.017
NM20025,B449576,B449575,4.09,4.26,1.065,1.075,0.033,0.034
NM20025,B449599,B449598,4.72,4.71,1.255,1.23,0.038,0.038
NM20025,B449618,B449617,4.01,4.05,0.955,0.959,0.032,0.034
NM20025,B449638,B449637,3.72,3.79,0.892,0.89,0.029,0.03
NM20025,B449658,B449657,5.16,5.28,1.295,1.29,0.038,0.039
NM20025,B449679,B449678,4.19,4.11,1.07,1.05,0.035,0.034
NM20025,B449698,B449697,4.36,4.43,1.17,1.175,0.037,0.039
NM20025,B449721,B449720,2.71,2.92,1.125,1.155,0.029,0.029
NM20024,B418650,B418649,4.11,4.29,0.662,0.735,0.028,0.03
NM20024,B418670,B418669,5.4,5.38,1.55,1.55,0.028,0.029
NM20024,B418690,B418689,3.23,3.18,0.223,0.198,0.023,0.025
NM20024,B418710,B418709,5.88,5.95,1.65,1.655,0.033,0.034
NM20024,B418732,B418731,2.78,2.61,0.102,0.097,0.02,0.018
NM20024,B418750,B418749,5.79,5.98,1.875,2,0.03,0.03
NM20024,B418768,B418767,5.43,5.44,1.81,1.795,0.028,0.028
NM20024,B418790,B418789,5.33,5.58,1.67,1.725,0.03,0.03
NM20023,B419605,B419604,5.12,4.98,0.044,0.044,0.038,0.035
NM20023,B419627,B419626,5.22,5.16,0.027,0.028,0.04,0.039
NM20023,B419645,B419644,5.65,5.53,1.975,1.965,0.054,0.053
NM20023,B419665,B419664,6.63,6.65,2.01,1.945,0.064,0.066
NM20023,B419685,B419684,6.36,6.32,1.865,1.855,0.062,0.061
NM20023,B419706,B419705,6.78,6.83,1.88,1.88,0.068,0.07
NM20023,B419725,B419724,6.82,6.81,1.9,1.88,0.067,0.068
NM20023,B419745,B419744,7.22,7.15,1.645,1.575,0.072,0.07
NM20023,B419768,B419767,4.06,3.95,1.37,1.35,0.041,0.04
NM20023,B419785,B419784,4.05,4.02,1.43,1.395,0.038,0.038
NM20023,B419805,B419804,3.95,4.06,1.37,1.38,0.038,0.038
NM20023,D024508,D024507,3.4,3.55,0.017,0.018,0.015,0.015
NM20022,B449103,B449102,3.23,3.31,0.065,0.065,0.015,0.016
NM20022,B449120,B449119,4.11,4.11,0.059,0.057,0.018,0.019
NM20022,B449140,B449139,6.22,6.34,0.065,0.059,0.025,0.026
NM20022,B449160,B449159,6.01,5.94,0.085,0.072,0.025,0.025
NM20022,B449180,B449179,3.89,3.96,0.087,0.079,0.022,0.023
NM20022,B449203,B449202,6.92,6.74,0.031,0.033,0.05,0.048
NM20022,B449221,B449220,6.25,6.1,0.04,0.041,0.046,0.045
NM20022,B449241,B449240,6.52,6.43,0.045,0.047,0.047,0.048
NM20022,B449262,B449261,6.24,6.29,0.042,0.043,0.045,0.045
NM20022,B449281,B449280,6.04,6.07,0.047,0.046,0.043,0.044
NM20022,B449302,B449301,5.56,5.6,0.045,0.045,0.039,0.04
NM20022,B449322,B449321,4.58,4.61,0.06,0.06,0.035,0.034
NM20022,B449341,B449340,5.55,5.4,0.056,0.052,0.043,0.041
NM20022,B449364,B449363,4.81,4.83,0.052,0.05,0.036,0.036
NM20022,B449380,B449379,4.8,4.93,0.048,0.047,0.036,0.035
NM20021,B418325,B418324,4.68,4.74,1.475,1.49,0.025,0.024
NM20021,B418345,B418344,4.58,4.62,1.61,1.6,0.025,0.027
NM20021,B418365,B418364,2.59,2.76,0.392,0.388,0.046,0.049
NM20021,B418385,B418384,4.81,4.91,1.555,1.61,0.029,0.03
NM20021,B418405,B418404,5.07,5.11,1.63,1.64,0.032,0.033
NM20021,B418425,B418424,4.69,4.6,1.39,1.38,0.038,0.037
NM20021,B418445,B418444,5.32,5.37,1.635,1.645,0.04,0.039
NM20021,B418460,B418459,5.94,1.44,2.12,0.171,0.046,0.031
NM20021,B418480,B418479,2.42,2.33,0.158,0.182,0.014,0.012
NM20021,B418500,B418499,2.14,2.02,0.523,0.53,0.011,0.011
NM20021,B418520,B418519,3.91,4.01,0.287,0.271,0.058,0.059
NM20021,B418540,B418539,5.43,5.36,1.775,1.735,0.045,0.043
NM20021,B418560,B418559,4.91,4.96,1.45,1.455,0.041,0.043
NM20021,B418580,B418579,4.7,4.64,1.605,1.57,0.038,0.037
NM20021,B418600,B418599,5.2,5.23,1.75,1.755,0.049,0.047
NM20021,B418620,B418619,5.24,5.2,1.61,1.61,0.049,0.049
NM20021,B418640,B418639,4.83,4.82,1.515,1.51,0.044,0.043
NM20020,B419385,B419384,4.59,4.65,0.063,0.064,0.036,0.036
NM20020,B419405,B419404,4.62,4.62,0.06,0.057,0.035,0.035
NM20020,B419425,B419424,4.74,4.66,0.05,0.05,0.036,0.036
NM20020,B419445,B419444,4.69,4.62,0.061,0.063,0.037,0.036
NM20020,B419465,B419464,4.92,4.93,0.052,0.048,0.038,0.037
NM20020,B419485,B419484,5.8,6.09,0.025,0.025,0.034,0.036
NM20020,B419505,B419504,7.22,7.33,0.047,0.048,0.039,0.038
NM20020,B419525,B419524,7.65,7.61,0.038,0.037,0.044,0.043
NM20020,B419545,B419544,7.4,7.37,0.033,0.032,0.033,0.032
NM20020,B419565,B419564,3.45,3.27,0.083,0.081,0.016,0.016
NM20020,B419585,B419584,4.92,4.93,0.038,0.035,0.021,0.02
NM20019,B416964,B416963,4.19,4.27,1.095,1.11,0.035,0.034
NM20019,B416984,B416983,4.17,4.22,1.125,1.13,0.036,0.035
NM20019,B449004,B449003,6.08,5.9,0.63,0.584,0.041,0.039
NM20019,B449025,B449024,3.18,3.13,0.869,0.866,0.026,0.027
NM20019,B449045,B449044,3.75,3.75,0.96,0.965,0.031,0.03
NM20019,B449064,B449063,3.26,3.51,0.854,0.892,0.029,0.028
NM20019,B449083,B449082,3.5,3.61,0.976,0.999,0.031,0.031
NM20018,B419225,B419224,3.95,3.92,0.057,0.056,0.026,0.025
NM20018,B419245,B419244,4.6,4.61,0.04,0.041,0.037,0.038
NM20018,B419265,B419264,4.42,4.54,0.022,0.022,0.028,0.03
NM20018,B419285,B419284,3.87,3.88,1.505,1.49,0.039,0.039
NM20018,B419305,B419304,5.76,5.65,1.76,1.74,0.059,0.057
NM20018,B419325,B419324,3.86,3.9,1.47,1.485,0.038,0.04
NM20018,B419345,B419344,5.72,5.82,1.255,1.275,0.05,0.051
NM20018,B419365,B419364,4.73,4.65,0.023,0.024,0.036,0.038
NM20018,D024621,D024620,3.66,3.67,0.043,0.043,0.013,0.013
NM20018,D024641,D024640,3.06,3.09,0.048,0.049,0.011,0.011
NM20017,B416764,B416763,4.65,4.65,1.385,1.39,0.04,0.039
NM20017,B416787,B416786,5.25,5.19,1.765,1.715,0.046,0.046
NM20017,B416806,B416805,4.56,4.62,1.37,1.39,0.041,0.043
NM20017,B416825,B416824,3.91,3.81,0.995,0.988,0.033,0.032
NM20017,B416845,B416844,5.2,5.19,1.435,1.44,0.047,0.047
NM20017,B416865,B416864,4.71,4.69,1.615,1.61,0.044,0.044
NM20017,B416886,B416885,2.12,2.21,0.601,0.611,0.018,0.02
NM20017,B416905,B416904,3.42,3.44,0.017,0.017,0.018,0.018
NM20017,B416925,B416924,3.54,3.51,0.021,0.02,0.025,0.024
NM20017,B416945,B416944,5.44,5.44,0.022,0.022,0.032,0.032
NM20016,B418190,B418189,4.46,4.5,0.677,0.665,0.002,0.004
NM20016,B418210,B418209,3.53,3.57,0.796,0.806,0.003,0.003
NM20016,B418230,B418229,6.08,6.06,1.615,1.62,0.01,0.01
NM20016,B418250,B418249,4.52,4.51,0.703,0.681,0.025,0.025
NM20016,B418270,B418269,2.2,2.24,0.259,0.268,0.01,0.009
NM20016,B418290,B418289,3.34,3.35,0.152,0.138,0.018,0.02
NM20016,B418310,B418309,4.57,4.39,1.42,1.365,0.017,0.017
NM20015,B418169,B418168,2.3,2.6,0.242,0.265,0.024,0.025
NM20014,B419025,B419024,4.79,4.76,0.036,0.035,0.038,0.039
NM20014,B419045,B419044,4.04,3.93,0.05,0.051,0.035,0.033
NM20014,B419065,B419064,4.33,4.29,0.097,0.099,0.033,0.032
NM20014,B419085,B419084,6.37,6.28,0.031,0.03,0.051,0.051
NM20014,B419105,B419104,5.53,5.59,0.044,0.045,0.046,0.047
NM20014,B419125,B419124,6.57,6.48,0.044,0.042,0.055,0.055
NM20014,B419145,B419144,6.16,6.2,0.044,0.042,0.05,0.05
NM20014,B419165,B419164,6.39,6.39,0.043,0.042,0.049,0.05
NM20014,B419185,B419184,7.31,7.24,0.047,0.049,0.053,0.053
NM20014,B419205,B419204,8.09,7.95,0.039,0.043,0.045,0.045
NM20013,B416566,B416565,23.7,25.5,0.035,0.029,0.144,0.146
NM20013,B416586,B416585,15.3,16,0.066,0.063,0.097,0.103
NM20013,B416606,B416605,20,19.95,0.072,0.075,0.124,0.122
NM20013,B416626,B416625,18.95,17.7,0.086,0.091,0.118,0.115
NM20013,B416645,B416644,11.95,12.65,0.1,0.097,0.092,0.095
NM20013,B416666,B416665,1.14,1.1,0.108,0.114,0.003,0.002
NM20013,B416685,B416684,10.05,10.05,0.134,0.13,0.076,0.077
NM20013,B416705,B416704,11.25,11.2,0.166,0.162,0.068,0.069
NM20013,B416726,B416725,13.4,13.05,0.188,0.196,0.064,0.064
NM20013,B416746,B416745,8.87,8.57,0.25,0.259,0.04,0.038
NM20012,B417888,B417887,3.69,3.68,0.028,0.028,0.017,0.018
NM20012,B417908,B417907,3.96,3.98,0.891,0.862,0.035,0.034
NM20012,B417928,B417927,4.26,4.26,1.475,1.495,0.041,0.042
NM20012,B417948,B417947,4.15,4.72,1.63,1.505,0.038,0.045
NM20012,B417968,B417967,4.64,4.81,1.15,1.175,0.034,0.035
NM20012,B417988,B417987,4.84,4.88,0.675,0.722,0.032,0.032
NM20012,B418008,B418007,4.68,4.65,1.465,1.46,0.046,0.046
NM20012,B418028,B418027,4.94,4.9,1.57,1.54,0.048,0.044
NM20012,B418048,B418047,4.38,4.35,1.235,1.24,0.042,0.042
